@RELATION codesnippets,,,,,,,,

@ATTRIBUTE indentation,NUMERIC,,,,,,,
@ATTRIBUTE comments,NUMERIC,,,,,,,
@ATTRIBUTE nondic,,NUMERIC,,,,,,
@ATTRIBUTE keywords,NUMERIC,,,,,,,
@ATTRIBUTE separator,NUMERIC,,,,,,,
@ATTRIBUTE operator,NUMERIC,,,,,,,
@ATTRIBUTE numofwords,NUMERIC,,,,,,,
@ATTRIBUTE stopwords,NUMERIC,,,,,,,
@ATTRIBUTE class  {text, code},,,,,,,

@DATA,,,,,,,,
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.666666667,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0.333333333,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.25,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.666666667,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.25,0.25,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0.333333333,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0.333333333,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0.076923077,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0.25,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,1,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,1,0,0,1,0,text
1,0,0,0,0.5,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.333333333,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,1,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,1,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,2,0,text
0,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,1,0,0,0,3,0,text
0,0,0,0,0,0,3,0.333333333,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0.25,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0.666666667,0,0,0,3,0,text
0,0,0,0,0,0,4,0.25,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0.25,0,1,0,text
1,0,0,0,0,0,0,0,text
0,0,0.5,0,0,0,2,0,text
0,0,0,0,0,0,6,0.333333333,text
1,0,0,0,0.181818182,0,1,0,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,3,0,text
0,0,0,0,0,0.02173913,7,0.142857143,text
1,0,0,0,0.181818182,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,0.111111111,0,0.030769231,0,9,0.222222222,text
1,0,0,0,0,0,0,0,text
0,0,0.4,0,0,0,5,0.2,text
1,0,0,0,0,0,0,0,text
0,0,0.25,0,0,0.026315789,4,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0.2,0,0,0,5,0.4,text
0,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
2,0,0,0,0,0,0,0,text
0,0,0.083333333,0.166666667,0,0,12,0.333333333,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0.111111111,0,0.020408163,18,0.444444444,text
2,0,0,0,0,0,0,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0.125,0,0,16,0.5625,text
3,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0,0,0,12,0.5,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0,0,0,15,0.466666667,text
4,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0.2,0,0,5,0.2,text
0,0,0.071428571,0,0,0,14,0.642857143,text
4,0,0,0,0,0,0,0,text
0,0,1,0,0,0,2,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0,0,0,15,0.6,text
0.666666667,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,15,0.466666667,text
0.666666667,0,0,0,0,0,0,0,text
0,0,0,0,0,0,2,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0.04,0,0,25,0.52,text
2,0,0,0,0,0,0,0,text
3,0,0,0,0,0,0,0,text
0,0,0,0,0,0,31,0.35483871,text
3,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,1,0,0,0,1,0,text
1,0,0,0,0,0,1,1,text
0,0,0,0,0,0,1,0,text
1,0,0,0,0,0.166666667,1,0,text
2,0,0,0,0,0,0,0,text
1,0,0.5,0,0.071428571,0.071428571,2,0.5,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
4,0,0,0,0,0,0,0,text
11,0,0,0,0,0,0,0,text
0,0,0,0,0,0,2,0,text
0,0,0,0,0,0,5,0.6,text
0,0,0,0,0,0,2,0,text
1,0,0,0.2,0,0,5,0.2,text
0,0,0,0,0,0,3,0,text
0,0,0,0,0,0,0,0,text
5.75,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0,0,3,0.333333333,text
4,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
1.333333333,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0.095238095,0.047619048,3,0.666666667,text
2,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0.086956522,0.043478261,4,0.25,text
2,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0,0.111111111,1,0,text
2,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
2,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
1,0,0,0,0,0,0,0,text
3.5,0,0,0,0,0,0,0,text
