@RELATION codesnippets

@ATTRIBUTE length		NUMERIC
@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  {text, code}

@DATA

1,0,0,0,0,0,0,0,0, text
21,0,0,0,0,0,1,3,0, text
13,0.142857143,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
6,0,0,1,0,1,1,1,0, text
7,0,0,0,0,0,0,1,0, text
14,0,0,0,0,0,0,2,1, text
19,0,0,0,0,0,0,2,0, text
6,0,0,1,0,1,1,1,0, text
33,0,0,0,0,0,0,6,1, text
2,0,0,0,0,0,0,1,0, text
3,4,0,0,0,0,0,0,0, text
4,8,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
4,8,0,0,0,0,0,0,0, text
8,10.66666667,0,0,0,0,0,0,0, text
5,12,0,0,0,0,0,0,0, text
6,16,0,0,0,0,0,0,0, text
7,20,0,0,0,0,0,0,0, text
6,0,0,1,0,1,1,1,0, text
7,20,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
23,0,0,0,0,0,0,4,1, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
18,0,0,0,0,0,0,3,0, text
8,24,0,0,0,0,0,0,0, text
7,20,0,0,0,0,0,0,0, text
6,16,0,0,0,0,0,0,0, text
6,16,0,0,0,0,0,0,0, text
7,20,0,0,0,0,0,0,0, text
6,0,0,1,0,1,1,1,0, text
7,20,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
9,28,0,0,0,0,0,0,0, text
10,32,0,0,0,0,0,0,0, text
11,36,0,0,0,0,0,0,0, text
11,36,0,0,0,0,0,0,0, text
12,40,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,1,0, text
11,36,0,0,0,0,0,0,0, text
10,32,0,0,0,0,0,0,0, text
10,32,0,0,0,0,0,0,0, text
11,36,0,0,0,0,0,0,0, text
11,36,0,0,0,0,0,0,0, text
13,0,0,0,0,0,0,2,0, text
10,32,0,0,0,0,0,0,0, text
9,28,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
8,24,0,0,0,0,0,0,0, text
7,20,0,0,0,0,0,0,0, text
6,16,0,0,0,0,0,0,0, text
5,12,0,0,0,0,0,0,0, text
4,8,0,0,0,0,0,0,0, text
8,10.66666667,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
4,8,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
4,8,0,0,0,0,0,0,0, text
13,0,0,0,0,0,0,2,0, text
3,4,0,0,0,0,0,0,0, text
6,5.333333333,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
6,5.333333333,0,0,0,0,0,0,0, text
7,8,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
85,4,0,0,0,0,0,16,8, text
4,0,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0,0, text
3,4,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,3,1, text
2,0,0,0,0,0,0,0,0, text
29,19.42857143,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,2,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
26,0,0,0,0,0,0,4,2, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
31,0,0,0,0,0,0,4,1, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
22,0,0,0,0,0,0,4,1, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
30,0,0,0,0,0,0,4,1, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
32,0,0,0,0,0,0,5,2, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
42,0,0,0,1,0,0,9,5, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
36,0,0,0,0,0,0,6,3, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
18,0,0,0,0,0,0,3,1, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
28,0,0,0,0,0,0,4,1, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
13,24,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
11,0,0,0,0,0,0,2,0, text
2,0,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0,0, text
